Category,24/07,25/07,26/07,27/07,28/07,29/07,30/07,31/07,01/08,02/08,03/08,04/08,05/08,06/08,07/08,08/08,09/08
App issues,1,33,35,26,16,27,18,23,35,26,42,27,26,29,41,41,33
Bring back 10 minute bolt delivery,1,2,1,1,2,4,2,6,1,1,2,4,0,0,1,4,4
Delivery issue,13,71,64,53,32,47,56,61,64,75,69,55,48,40,74,92,104
Delivery partner rude,4,20,21,21,14,13,16,21,22,27,20,18,9,15,19,16,23
Discount Code Issues,0,8,7,5,4,5,6,2,5,12,6,3,2,4,5,2,11
Food stale,3,28,46,50,36,35,26,43,35,46,51,42,41,34,32,37,47
High Charges/Fees,2,29,35,23,19,15,18,17,22,24,22,19,14,16,12,27,33
Incorrect Order Contents,2,4,3,7,6,5,5,7,5,5,7,0,3,3,1,7,4
Instamart should be open all night,4,10,13,7,12,0,6,10,11,16,9,9,11,9,7,9,10
Maps not working properly,0,1,3,1,1,0,0,1,1,1,2,2,2,2,2,3,5
Payment issues,7,8,17,7,2,8,15,6,12,12,13,10,9,13,12,10,15
Positive Feedback,74,378,408,425,274,289,337,351,379,493,488,358,397,340,340,437,542
Refund Delay,2,5,8,15,10,7,7,7,9,8,8,11,10,9,9,11,18
Restaurant Preparation Time,1,6,6,4,6,1,3,4,3,8,3,9,5,6,6,11,10
Slow App Response,0,6,2,7,5,7,3,6,4,13,6,8,7,10,8,16,8
